[2015-09-18 00:03:31] Sudhansu1, quitting. (Quit: Sudhansu1)
[2015-09-18 12:35:13] drptbl, quitting. (Quit: My MAC has gone to sleep. zZz..)
[2015-09-18 12:43:09] sircapsalot, quitting. (Quit: Leaving.)
[2015-09-18 12:43:41] ET1, quitting. (Quit: Leaving.)
[2015-09-18 12:47:24] ET1, joining. (#selenium)
[2015-09-18 12:49:40] jlipps, joining. (#selenium)
[2015-09-18 12:49:58] trentp, joining. (#selenium)
[2015-09-18 12:50:21] trentp, quitting. (Client Quit)
[2015-09-18 12:50:42] brma, joining. (#selenium)
[2015-09-18 12:52:27] anu_c, joining. (#selenium)
[2015-09-18 12:55:33] jconstance, quitting. (Remote host closed the connection)
[2015-09-18 12:55:34] jmeaney, quitting. (Ping timeout: 260 seconds)
[2015-09-18 13:02:28] drptbl, joining. (#selenium)
[2015-09-18 13:10:29] loa: dude-x, ah i understand now why i started using slimerjs
[2015-09-18 13:10:38] loa: i need intercept some queries
[2015-09-18 13:10:56] loa: i need urls and cookies at least
[2015-09-18 13:11:04] loa: can i do this with chromedriver?
[2015-09-18 13:11:52] dude-x: you can get cookies
[2015-09-18 13:12:04] dude-x: you can get the current url in the browser
[2015-09-18 13:13:57] dude-x: you can set cookies
[2015-09-18 13:14:19] lukeis, quitting. (Ping timeout: 265 seconds)
[2015-09-18 13:22:17] loa: it is not too much
[2015-09-18 13:23:47] jmeaney, joining. (#selenium)
[2015-09-18 13:27:47] anu_c, quitting. (Ping timeout: 264 seconds)
[2015-09-18 13:28:33] tony3, quitting. (Quit: Leaving.)
[2015-09-18 13:28:49] tony3, joining. (#selenium)
[2015-09-18 13:31:10] anu_c, joining. (#selenium)
[2015-09-18 13:34:31] rorycb, quitting. (Remote host closed the connection)
[2015-09-18 13:36:19] jleyba, quitting. (Quit: Leaving)
[2015-09-18 13:36:45] lukeis, joining. (#selenium)
[2015-09-18 13:37:43] dude-x: lukeis:
[2015-09-18 13:37:51] lukeis: yes? :)
[2015-09-18 13:37:59] dude-x: i got this error in appium:  AttributeError: 'unicode' object has no attribute 'text'
[2015-09-18 13:38:14] lukeis: oh, fun
[2015-09-18 13:38:28] lukeis: a sting doesn't have a .text   attribute you know ;)
[2015-09-18 13:38:33] dude-x: I called find elements on text elements in a android app; now i am looping through them to extract the .text
[2015-09-18 13:38:54] lukeis: can you repro this consistently?
[2015-09-18 13:39:12] lukeis: there was a recent bug report, but I couldn't repro it
[2015-09-18 13:39:30] davehunt, joining. (#selenium)
[2015-09-18 13:40:19] dude-x: time to print debug!
[2015-09-18 13:40:20] dude-x: yay
[2015-09-18 13:41:07] dude-x: running a second time
[2015-09-18 13:43:40] dude-x: lukeis: sadly it's a bug in my code.
[2015-09-18 13:43:45] lukeis: :)
[2015-09-18 13:44:02] *lukeis doesn't think that's sad ;)'
[2015-09-18 13:44:06] dude-x: or rather fortunately.
[2015-09-18 13:45:19] dude-x: i put .text on the wrong variable; it was actually a string object i was querying
[2015-09-18 13:45:29] lukeis: :-D
[2015-09-18 13:46:43] dude-x: whoo!
[2015-09-18 13:53:23] __gotcha, quitting. (Ping timeout: 264 seconds)
[2015-09-18 14:04:37] dimacus, quitting. (Quit: Leaving.)
[2015-09-18 14:05:23] AutomatedTester: dude-x: that's the 2nd report like it this week
[2015-09-18 14:06:10] dude-x: AutomatedTester: yeah but it was just a bug in my code.
[2015-09-18 14:06:13] AutomatedTester: who watched the rugby?
[2015-09-18 14:06:32] AutomatedTester: dude-x: I suspect the other person had a similar bug
[2015-09-18 14:07:17] dude-x: i think so
[2015-09-18 14:07:18] dude-x: too
[2015-09-18 14:09:16] ET1, quitting. (Quit: Leaving.)
[2015-09-18 14:09:28] T3ng`, joining. (#selenium)
[2015-09-18 14:09:32] AutomatedTester: dude-x: unfortunately for the other person their stuff was super sekret
[2015-09-18 14:10:19] lukeis: and only happened "sometimes" :)
[2015-09-18 14:12:20] dolu: AutomatedTester: I did.
[2015-09-18 14:12:54] dolu: good end for the english but the fiji team was more than ok until the 60'
[2015-09-18 14:13:25] dolu: the english subs brought a lot to the team. best player : the 15 of england
[2015-09-18 14:13:26] AutomatedTester: dolu:  I thought that both teams weren't great
[2015-09-18 14:13:44] AutomatedTester: England were the better team but I dont have high hopes for either team
[2015-09-18 14:13:49] ET1, joining. (#selenium)
[2015-09-18 14:14:08] dolu: yeah there was a lot of tech errors but that s a first match, expected / big pressure
[2015-09-18 14:14:10] AutomatedTester: but its the first game of the tournament, lets see how the rest go
[2015-09-18 14:14:18] dolu: exactly
[2015-09-18 14:14:29] ericmeds, quitting. (Quit: ericmeds)
[2015-09-18 14:14:37] AutomatedTester: Looking forward to seeing the Springboks play
[2015-09-18 14:15:30] lukeis: what is this other hand-egg sport you talk of?
[2015-09-18 14:15:31] dolu: and me the France :) … we have been so bad for 4 years, who knows maybe the magic happens and we will be good …. even if I doubt about it
[2015-09-18 14:15:51] AutomatedTester: France can be quite good
[2015-09-18 14:16:16] swampdragons, leaving. (#selenium)
[2015-09-18 14:16:40] dolu: http://www.rugbyworldcup.com/ lukeis
[2015-09-18 14:16:41] AutomatedTester: lukeis: Rugby, it's like American Hand-Egg, except its actually got action and not just brute force
[2015-09-18 14:16:50] AutomatedTester: and less padding
[2015-09-18 14:17:18] AutomatedTester: requires more skill
[2015-09-18 14:17:34] *lukeis ignores all the sports balls… and goes to drink some beer'
[2015-09-18 14:17:49] Porfa: hello.. I'm using selenium web driver in ruby and i need some help handling something here…driver.find_element(:id, "f01_0001") doesn't even exist, but I'm just looking for it.. it crashes my rib console
[2015-09-18 14:17:54] AutomatedTester: we can drink beer while I watch sports ball
[2015-09-18 14:18:03] lukeis: that's fine by me
[2015-09-18 14:18:20] AutomatedTester: last world cup I was in CA
[2015-09-18 14:18:29] AutomatedTester: and there was 1 place I could watch the games
[2015-09-18 14:18:33] AutomatedTester: what a fail
[2015-09-18 14:18:39] Porfa: why can't i " driver.find_element(:id, "f01_0001").nil? " ?
[2015-09-18 14:18:40] dolu: :D
[2015-09-18 14:18:46] lukeis: Porfa: find_element throws an exception when no element is found…. find_elements will return an empty list
[2015-09-18 14:19:17] Porfa: can i replace it?
[2015-09-18 14:19:39] Porfa: i have no idea on how to do this, sorry I'm going back to reading some stugg
[2015-09-18 14:19:45] Porfa: stuff*
[2015-09-18 14:22:20] __gotcha, joining. (#selenium)
[2015-09-18 14:22:28] __gotcha, quitting. (Remote host closed the connection)
[2015-09-18 14:22:30] anu_c, quitting. (Ping timeout: 256 seconds)
[2015-09-18 14:22:52] __gotcha, joining. (#selenium)
[2015-09-18 14:23:48] lukeis: AutomatedTester: world cup of soccer? (that's the only world cup we know of… and you guys call that sport "football" :) )
[2015-09-18 14:25:09] tony3, quitting. (Quit: Leaving.)
[2015-09-18 14:29:55] AutomatedTester: lukeis: we call it football... because its a sport with a ball and you use your foot to kick it around
[2015-09-18 14:30:09] AutomatedTester: lukeis: we can discuss the "world" series
[2015-09-18 14:30:13] AutomatedTester: that only has the US
[2015-09-18 14:30:34] lukeis: you can blame the World Bank for that one ;)
[2015-09-18 14:31:12] __gotcha, quitting. (Ping timeout: 244 seconds)
[2015-09-18 14:31:55] lukeis: apparently i'm wrong about that ;)
[2015-09-18 14:32:21] AutomatedTester: yea...
[2015-09-18 14:32:54] AutomatedTester: but every year from 1884 through 1890 the two leagues' champions met in post-season series of varying lengths (an event that was known, among other names, as the "world series”)
[2015-09-18 14:32:56] lukeis: it's the "World" of baseball… :)
[2015-09-18 14:33:31] AutomatedTester: 'merica
[2015-09-18 14:33:34] AutomatedTester: fuck yea!
[2015-09-18 14:33:36] AutomatedTester: :D
[2015-09-18 14:33:43] lukeis: fuck…… yeah?
[2015-09-18 14:33:55] jleyba, joining. (#selenium)
[2015-09-18 14:34:00] AutomatedTester: lukeis: I believe that is what they say in Texas
[2015-09-18 14:34:10] AutomatedTester: if you are found with a clock
[2015-09-18 14:34:34] lukeis: that's a case of electronic-ing while brown
[2015-09-18 14:35:07] lukeis: or non-white :)
[2015-09-18 14:36:01] AutomatedTester: I had someone on my facebook timeline go... "it's not racist. If it was racist why did they arrest these kids? http://www.wcnc.com/story/news/local/2015/05/26/s-iredell-high-school-evacuated/27955409/"
[2015-09-18 14:36:40] lukeis: smh
[2015-09-18 14:36:42] AutomatedTester: I just smh
[2015-09-18 14:37:29] AutomatedTester: 1 was treated like a bomb threat... the other wasnt
[2015-09-18 14:38:48] AutomatedTester: this person, for clarification, lives in the UK but is a UKIP fanboi so could easily move to the US and join the republicans
[2015-09-18 14:39:01] jleyba: ukip?
[2015-09-18 14:39:13] AutomatedTester: UK Independence Party
[2015-09-18 14:39:29] AutomatedTester: jleyba: they hate foreigners
[2015-09-18 14:39:36] lukeis: jleyba: ukip == republicans ;)
[2015-09-18 14:40:08] AutomatedTester: jleyba: claim refugees are coming to the UK to earn £36 a week on the dole
[2015-09-18 14:40:18] jleyba: Are they just xenophobic? Or mean, hateful, and self-righteous across the board?
[2015-09-18 14:40:33] AutomatedTester: all of the above
[2015-09-18 14:40:38] dude-x: they sound like US Tea Partyers
[2015-09-18 14:40:44] dude-x: and they seem religious too
[2015-09-18 14:40:46] jleyba: Cool.. Then there's room for them in the Repub tent
[2015-09-18 14:40:47] AutomatedTester: dude-x: not that extreme
[2015-09-18 14:41:03] AutomatedTester: dude-x: UKIP arent religious zealots
[2015-09-18 14:41:23] AutomatedTester: dude-x: they just want to "Make Britain Great Again"
[2015-09-18 14:41:51] dude-x: i saw some of the promos, and a few people spoke about christianity
[2015-09-18 14:43:00] AutomatedTester: dude-x: it's very small
[2015-09-18 14:44:43] dude-x: AutomatedTester: is it a big deal that Jeremy Corbyn is MP of Labour?
[2015-09-18 14:44:51] dude-x: does he have a lot of power?
[2015-09-18 14:44:56] AutomatedTester: he does
[2015-09-18 14:45:09] AutomatedTester: he rules the 2nd most powerful party currently
[2015-09-18 14:45:29] dude-x: is the media mad about it? ;)
[2015-09-18 14:45:30] AutomatedTester: I have never heard of him but what I have read of his past I like him
[2015-09-18 14:45:38] AutomatedTester: the media are mad
[2015-09-18 14:45:54] AutomatedTester: "He didnt sing "God Save the Queen"! Off with his head!"
[2015-09-18 14:46:22] AutomatedTester: they misusing sound bites of him saying bin Laden's death was a tragedy
[2015-09-18 14:47:53] AutomatedTester: He said that bin Laden's death was a tragedy because we didnt take him to trial. The hundreds of thousands of displaced and dead people since is a tragedy. This whole war is a tradegy and we went to Assassinate someone
[2015-09-18 14:48:09] AutomatedTester: and that is the biggest tragedy
[2015-09-18 14:48:13] dude-x: yeah; even worse the US even lied about the narrative around that assasination
[2015-09-18 14:48:20] dude-x: like dumping his body in the sea
[2015-09-18 14:48:29] dude-x: when they just dropped him over some mountains
[2015-09-18 14:48:44] dude-x: and everything about the raid
[2015-09-18 14:49:10] AutomatedTester: he turned vegetarian after working in a slaughter house and seeing how animals are mistreated
[2015-09-18 14:49:21] AutomatedTester: he has principles and sticks to them
[2015-09-18 14:49:24] AutomatedTester: I like that
[2015-09-18 14:49:38] AutomatedTester: I doubt I would vote for him
[2015-09-18 14:49:44] AutomatedTester: but I like he has principles
[2015-09-18 14:51:57] dude-x: well, following the news it seems the UK and other lefty european countries have been moving right. I think Corbyn is a sign that people are catching on to the BS.
[2015-09-18 14:52:11] dude-x: Though you guys voted for Cameron? Blair?
[2015-09-18 14:52:19] dude-x: who's the PM of England now?
[2015-09-18 14:53:37] badri, joining. (#selenium)
[2015-09-18 14:54:41] ET1, quitting. (Quit: Leaving.)
[2015-09-18 14:55:05] AutomatedTester: Cameron
[2015-09-18 14:55:13] AutomatedTester: I most definitely didnt vote for him
[2015-09-18 14:55:16] AutomatedTester: https://www.facebook.com/video.php?v=10153567905478851&fref=nf
[2015-09-18 14:55:58] AutomatedTester: dude-x: a lot of countries are moving right
[2015-09-18 14:56:07] AutomatedTester: dude-x: actually I find it scary
[2015-09-18 14:56:31] AutomatedTester: a lot of reminds me of things I read about in 1920s
[2015-09-18 14:57:32] Ardesco, quitting. (Quit: Ardesco)
[2015-09-18 14:57:46] bbarke1, quitting. (Quit: Leaving.)
[2015-09-18 14:57:50] AutomatedTester: dude-x: the whole migrant/refugee crisis is also very saddening
[2015-09-18 14:59:27] jleyba, quitting. (Quit: Leaving)
[2015-09-18 15:12:02] jconstance, joining. (#selenium)
[2015-09-18 15:22:03] davehunt, quitting. (Remote host closed the connection)
[2015-09-18 15:28:27] __gotcha, joining. (#selenium)
[2015-09-18 15:28:33] __gotcha, quitting. (Remote host closed the connection)
[2015-09-18 15:30:38] loa: dude-x, i fixed issue)
[2015-09-18 15:31:02] loa: first i intercept webdirver communication using tcpdump and wireshark
[2015-09-18 15:31:13] loa: there was error for ghostdriver
[2015-09-18 15:31:57] loa: after that i fixed issue with slimerjs i can't found methods for ghostdriver i add folder from slimer installation and modified on src file.
[2015-09-18 15:32:06] loa: here this bug https://github.com/laurentj/slimerjs/issues
[2015-09-18 15:32:31] loa: slimerjs is very good, but looks like xulrunner is deprecated lol)
[2015-09-18 15:32:38] dude-x: which issue
[2015-09-18 15:33:12] Porfa, quitting. (Quit: gggggnight everyone! :))))
[2015-09-18 15:35:54] lukeis: man… slow simulators on virtual machines are slow
[2015-09-18 15:37:09] __gotcha, joining. (#selenium)
[2015-09-18 15:37:24] dude-x: lukeis: no HAXM accelaration?
[2015-09-18 15:37:32] dude-x: or other optimizations?
[2015-09-18 15:37:34] lukeis: haxm is android
[2015-09-18 15:37:40] lukeis: and emulators
[2015-09-18 15:37:47] jconstance, quitting. (Remote host closed the connection)
[2015-09-18 15:38:00] lukeis: sim implies iOS :)
[2015-09-18 15:38:22] shawnknight, quitting. (Quit: shawnknight)
[2015-09-18 15:39:00] jconstance, joining. (#selenium)
[2015-09-18 15:39:50] jmeaney, quitting. (Ping timeout: 260 seconds)
[2015-09-18 15:41:31] dude-x: gotcha
[2015-09-18 15:41:33] lukeis: (around 2 minutes for a new session on iOS in saucelabs right now…)
[2015-09-18 15:41:39] Guest48, quitting. (Ping timeout: 252 seconds)
[2015-09-18 15:43:30] lukeis: jlipps: pre-warm new sessions for mobile safari please :) (I know it's not a simple request :) )
[2015-09-18 15:44:41] dude-x: lukeis: my average startup time for android devices is 50s to 60s
[2015-09-18 15:45:01] lukeis: are you using sauce, or something else?
[2015-09-18 15:45:26] lukeis: (if you're using selendroid, you should have the emulators already running ;) )
[2015-09-18 15:45:53] AutomatedTester: biscuits with almond butter and chocolate chips === awesome late night snack
[2015-09-18 15:46:11] AutomatedTester: cookies to the yanks
[2015-09-18 15:46:23] jconstance, quitting. (Remote host closed the connection)
[2015-09-18 15:46:24] __gotcha, quitting. (Ping timeout: 264 seconds)
[2015-09-18 15:46:35] lukeis: nom nom nom
[2015-09-18 15:50:55] loa: dude-x, with json decode.
[2015-09-18 15:51:13] AutomatedTester: *sigh* Nuclide is just causing problems
[2015-09-18 15:52:51] dude-x: loa: got it
[2015-09-18 15:55:05] loa: how i can get pid of started server for webdriver?
[2015-09-18 15:55:15] loa: found this http://stackoverflow.com/questions/10752512/get-pid-of-browser-launched-by-selenium
[2015-09-18 15:55:28] loa: but it is not working for phantomjs backend
[2015-09-18 15:55:46] loa: i need little clean after session, just driver.quit() not enought
[2015-09-18 15:56:05] dude-x: loa psutils probably
[2015-09-18 15:56:42] dude-x: loa yeah; you'd need psutils
[2015-09-18 16:01:17] loa: yes i found parent pid from selenium
[2015-09-18 16:01:26] loa: now i somehow need to get all childrens...
[2015-09-18 16:05:53] ET1, joining. (#selenium)
[2015-09-18 16:10:57] ET1, quitting. (Quit: Leaving.)
[2015-09-18 16:11:52] blackboxd, quitting. (Quit: blackboxd)
[2015-09-18 16:11:56] lukeis, quitting. (Quit: Leaving.)
[2015-09-18 16:12:37] ET1, joining. (#selenium)
[2015-09-18 16:12:40] loa: dude-x, ok, i did this.
[2015-09-18 16:18:53] jlipps: lukeis: on sauce you mean?
[2015-09-18 16:19:05] jlipps: ah he is gone.
[2015-09-18 16:19:06] dude-x, quitting. (Read error: Connection reset by peer)
[2015-09-18 16:23:34] dude-x, joining. (#selenium)
[2015-09-18 16:23:45] dude-x: loa, yes?
[2015-09-18 16:40:39] badri, quitting. (Ping timeout: 246 seconds)
[2015-09-18 16:46:54] cyraxjoe, quitting. (Ping timeout: 240 seconds)
[2015-09-18 16:47:47] cyraxjoe, joining. (#selenium)
[2015-09-18 16:52:17] jlipps, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-09-18 16:55:03] dude-x, quitting. (Remote host closed the connection)
[2015-09-18 17:09:05] T3ng`, quitting. (Remote host closed the connection)
[2015-09-18 17:21:49] brma, quitting. (Quit: Leaving.)
[2015-09-18 17:21:51] merobertsjr, quitting. (Ping timeout: 240 seconds)
[2015-09-18 17:29:52] swampdragons, joining. (#selenium)
[2015-09-18 17:37:06] dolu, quitting. (Quit: Leaving.)
[2015-09-18 17:38:14] ET1, quitting. (Quit: Leaving.)
[2015-09-18 17:40:23] swampdragons, quitting. (Quit: Leaving.)
[2015-09-18 17:42:53] ET1, joining. (#selenium)
[2015-09-18 18:04:49] jlipps, joining. (#selenium)
[2015-09-18 18:13:57] drptbl, quitting. (Quit: My MAC has gone to sleep. zZz..)
[2015-09-18 18:16:48] erm3nda, joining. (#selenium)
[2015-09-18 18:18:29] erm3nda: Someone here knows why does selenium firefox webdriver (python) add the webdriver=true flag?
[2015-09-18 18:20:02] T3ng`, joining. (#selenium)
[2015-09-18 18:24:35] T3ng`, quitting. (Ping timeout: 260 seconds)
[2015-09-18 18:31:51] felixn: hey, using touch API with chrome browser emulation, does it work?
[2015-09-18 18:32:05] felixn: java.lang.UnsupportedOperationException: Underlying driver does not implement advanced user interactions yet. <-- when doing POST /touch/click
[2015-09-18 18:38:38] erm3nda: As i understand... selenium does nothing on the UI
[2015-09-18 18:38:53] erm3nda: all is driven by the javascript webdriver
[2015-09-18 18:39:14] erm3nda: You can emulate things like drag and drop, but again, with no real UI envoling
[2015-09-18 18:40:15] erm3nda: really does it?
[2015-09-18 18:40:56] erm3nda: Sorry, i've confused myself, im just wrong on my statements
[2015-09-18 18:46:10] richdownie, joining. (#selenium)
[2015-09-18 18:50:23] richdownie, quitting. (Client Quit)
[2015-09-18 18:53:55] Padawan_, quitting. (Quit: WeeChat 1.1.1)
[2015-09-18 19:05:31] jlipps, quitting. (Remote host closed the connection)
[2015-09-18 19:09:39] felixn: nvm about my question, I just use /click, and chrome's browser emulation will do perform a touch event instead
[2015-09-18 19:10:21] felixn: erm3nda: old school selenium RC was javascript driven, but webdriver is the real deal
[2015-09-18 19:14:10] erm3nda: i use webdriver
[2015-09-18 19:14:15] nirvdrum, quitting. (Ping timeout: 240 seconds)
[2015-09-18 19:14:18] erm3nda: and is still a javascript server inside a xpi extension
[2015-09-18 19:14:55] erm3nda: But, your questions is more Java, and i cannot talk about what i don't know :) srry
[2015-09-18 19:15:56] erm3nda: Seems we are talking about two different things
[2015-09-18 19:16:06] erm3nda: Never heard about real UI, but maybe is my fault
[2015-09-18 19:17:03] felixn: eh?
[2015-09-18 19:17:58] felixn: webdriver uses hooks provided by the browser to drive the web, it's different for each browser.  it's not executing `document.querySelector('.foo').click()` like RC
[2015-09-18 19:23:09] tkiel, joining. (#selenium)
[2015-09-18 19:26:43] erm3nda: Ohh
[2015-09-18 19:28:32] erm3nda: And do you know why does install javascript extension if don't use such features?
[2015-09-18 19:28:42] erm3nda: Im using 2.47.1
[2015-09-18 19:29:34] sircapsalot, joining. (#selenium)
[2015-09-18 19:31:00] felixn: not sure, you're going to have to dig around!  running selenium-server -debug should help
[2015-09-18 19:34:42] erm3nda: do we talk about standalone server then?
[2015-09-18 19:35:00] erm3nda: the java one
[2015-09-18 19:35:13] erm3nda: I use Firefox() webdriver from Python selenium
[2015-09-18 19:35:22] erm3nda: Maybe is about that. Im not an selenium expert :(
[2015-09-18 19:36:32] ET1, quitting. (Quit: Leaving.)
[2015-09-18 19:52:20] p0deje, joining. (#selenium)
[2015-09-18 19:55:30] kggr, joining. (#selenium)
[2015-09-18 19:57:48] merobertsjr, joining. (#selenium)
[2015-09-18 20:08:46] arbos, quitting. (Quit: Nettalk6 - www.ntalk.de)
[2015-09-18 20:15:39] ET1, joining. (#selenium)
[2015-09-18 20:21:49] ET1, quitting. (Ping timeout: 264 seconds)
[2015-09-18 20:32:55] jconstance, joining. (#selenium)
[2015-09-18 20:33:49] jconstance, quitting. (Remote host closed the connection)
[2015-09-18 20:36:13] jconstance, joining. (#selenium)
[2015-09-18 20:38:26] sircapsalot, quitting. (Quit: Leaving.)
[2015-09-18 20:42:38] Mixologic_, joining. (#selenium)
[2015-09-18 20:45:16] Mixologic, quitting. (Ping timeout: 252 seconds)
[2015-09-18 20:55:32] merobertsjr, quitting. (Quit: Be back later ...)
[2015-09-18 20:57:30] ET1, joining. (#selenium)
[2015-09-18 21:01:52] cyraxjoe, quitting. (Ping timeout: 240 seconds)
[2015-09-18 21:02:34] cyraxjoe, joining. (#selenium)
[2015-09-18 21:03:01] p0deje, quitting. (Quit: p0deje)
[2015-09-18 21:09:42] [rahul], joining. (#selenium)
[2015-09-18 21:15:48] sgsabbage, quitting. (Ping timeout: 250 seconds)
[2015-09-18 21:18:27] ET1, quitting. (Quit: Leaving.)
[2015-09-18 21:29:26] spacenomad, quitting. (Remote host closed the connection)
[2015-09-18 21:30:30] [rahul], quitting. (Quit: This computer has gone to sleep)
[2015-09-18 21:44:45] mushroomed, quitting. (Quit: b00~)
[2015-09-18 21:45:27] mekhami, quitting. (Quit: WeeChat 0.4.2)
[2015-09-18 21:45:32] [rahul], joining. (#selenium)
[2015-09-18 21:50:24] erm3nda, quitting. (Ping timeout: 244 seconds)
[2015-09-18 21:55:05] erm3nda, joining. (#selenium)
[2015-09-18 21:59:50] sbogg, joining. (#selenium)
[2015-09-18 22:03:46] djinni, quitting. (Quit: Leaving)
[2015-09-18 22:04:19] bimmelino, joining. (#selenium)
[2015-09-18 22:06:22] [rahul], quitting. (Quit: This computer has gone to sleep)
[2015-09-18 22:10:53] djinni, joining. (#selenium)
[2015-09-18 22:12:34] merobertsjr, joining. (#selenium)
[2015-09-18 22:15:36] [rahul], joining. (#selenium)
[2015-09-18 22:28:03] btulchinsky, joining. (#selenium)
[2015-09-18 22:30:25] dolu, joining. (#selenium)
[2015-09-18 22:32:32] [rahul], quitting. (Quit: This computer has gone to sleep)
[2015-09-18 22:48:43] [rahul], joining. (#selenium)
[2015-09-18 22:49:36] dolu, quitting. (Quit: Leaving.)
[2015-09-18 23:03:55] rananda, quitting. (Ping timeout: 246 seconds)
[2015-09-18 23:08:44] rorycb, joining. (#selenium)
[2015-09-18 23:13:01] rorycb, quitting. (Ping timeout: 246 seconds)
[2015-09-18 23:15:56] shawnknight, joining. (#selenium)
[2015-09-18 23:16:29] sgsabbage, joining. (#selenium)
[2015-09-18 23:17:36] rananda, joining. (#selenium)
[2015-09-18 23:18:46] shawnknight, quitting. (Client Quit)
[2015-09-18 23:25:44] merobertsjr, quitting. (Quit: Be back later ...)
[2015-09-18 23:32:56] barancev, quitting. (Ping timeout: 255 seconds)
[2015-09-18 23:33:35] barancev, joining. (#selenium)
[2015-09-18 23:47:44] [rahul], quitting. (Quit: Leaving)
[2015-09-18 23:52:06] Ardesco, joining. (#selenium)
